Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
Sleigh Booster Imperial Red Ale,4.3,4.2,4.6,4.6,,Red Ale,Bridge Brewing Co.,Very smooth and flavourful in a big and bold package,You may just fall off the sleigh,A deceptively drinkable Imperial Red Ale,9.0%,71,650,2015-Dec-06,dustansept,"Brewery Regions, Bridge Brewing Co., Greater Vancouver Breweries, Red Ale, Top BC Beers, Types Of Beer, Uncategorized","bridge, imperial red ale","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/12/06/bridge-brewing-co-sleigh-booster-imperial-red-ale/
Vancouver Special IPA,4.1,4.0,4.2,3.8,,India Pale Ale,R&B Brewing Co.,"A hop forward ipa that also has a nice, mid-sweet malt character",Doesn't have as strong of a hop profile as the label suggests,"A hoppy, but balanced BC-style IPA",6.0%,,650,2015-Dec-02,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Greater Vancouver Breweries, IPA, R&B Brewing Co., Top BC Beers, Types Of Beer","ipa, r&b","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/12/02/rb-brewing-co-vancouver-special-ipa/
Amarillo Sour Review,3.8,4.2,4.5,4.0,,Sour Ale,Powell Street Brewery,Delicious combination of mild sour tones and amarillo hop frut flavours,A lighter sour than some may like,A deliciously flavoured sour ale that truly highlights the Amarillo Hop.,5.0%,13,650,2015-Nov-30,dustansept,"6.0% - 6.9%, ABV, Amarillo Hops, Brewery Regions, Greater Vancouver Breweries, Powell Street Brewing Co., Sour, Top BC Beers, Types Of Beer, Types of Hops","powell st, sour","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/11/30/powell-street-brewery-amarillo-sour-review/
Windrose Four Grain Porter,4.3,3.8,4.6,3.9,,Porter,Steel & Oak Brewing Co.,Great balance and flavour - overall a fantastic beer!,Rather heavy and dark for the Porter style,A dark and delicious porter with smooth chocolate notes,6.0%,40,650,2015-Nov-28,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Porter, Steel & Oak Brewing Co., Top BC Beers, Types Of Beer","Porter, steel & oak","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/11/28/steel-oak-brewing-co-windrose-four-grain-porter/
2015 De Auras Wheat Sour,4.2,4.4,4.6,4.2,,Sour Ale,Driftwood Brewing Co.,A strong sour in a very drinkable beer,Rather carbonated and intense,"A more drinkable than expexted, delicious sour wheat ale",6.5%,,650,2015-Nov-26,dustansept,"6.0% - 6.9%, ABV, Brettanomyces, Brewery Regions, Driftwood Brewing Co., Sour, Top BC Beers, Vancouver Island Breweries, Wheat Beer","driftwood, sour","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/11/26/driftwood-brewing-co-2015-de-auroas-wheat-sour/
Appleton Extra Special Bitter,4.0,4.1,4.4,4.2,,Extra Special Bitter,Hoyne Brewing Co.,A great balance of flavour and sessionability,A bigger than typical hop profile,A flavourful and sessionable ESB that pays tribute to Frank Appleton,5.2%,,650,2015-Nov-14,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, ESB, Hoyne Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","ESB, hoyne","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/11/14/hoyne-brewing-co-appleton-extra-special-bitter/
India Pale Ale   Mark 2,3.6,4.4,4.2,3.8,,India Pale Ale,Postmark Brewing,Big and flavourful hop tones without being overly bitter,Big on the citrus tones (if you aren't into that),"A well hopped, tropical and nicely balanced IPA",6.0%,52,650,2015-Oct-29,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Greater Vancouver Breweries, IPA, Postmark Brewing Co., Top BC Beers, Types Of Beer","ipa, postmark","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/29/postmark-brewing-india-pale-ale-mark-2/
Dark Ale,4.5,4.2,4.4,4.3,,Dark Ale,Canoe Brewpub,"Big body, smooth flavour and a deliciously balanced beer",A tad bitter for the IBU rating,A smooth and chocolaty dark ale with a great balance,5.5%,20,650,2015-Oct-28,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Canoe Brewpub, Dark Ale, Top BC Beers, Types Of Beer, Vancouver Island Breweries","canoe, dark ale","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/28/canoe-brewpub-dark-ale/
Darkling Oatmeal Stout,4.0,4.2,4.0,3.8,,Stout,Cannery Brewing Co.,A nice balance of toasted malts and coffee/chocolate tones,The flavour isn't the biggest profiled for the style,A smooth and balanced Oatmeal Stout with delicious coffee and chocolate notes,5.5%,30,650,2015-Oct-24,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Cannery Brewing Co., Okanagan Breweries, Stout, Top BC Beers, Types Of Beer","cannery, stout","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/24/cannery-brewing-co-darkling-oatmeal-stout/
Imperial Pilsner,4.3,4.2,3.7,3.8,,Imperial Pilsner,Persephone Brewing Co.,Nice and fresh flavour while packing a punch of hop and alcohol.,A bit boozy for the style,A nice combo of malt and hop flavours in a smooth and slightly boozy imperial pilsner,8.0%,,650,2015-Oct-20,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Persephone Brewing Co., Pilsner, Top BC Beers, Types Of Beer","imperial pilsner, persephone","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/20/persephone-brewing-co-imperial-pilsner/
2015 Fresh Hop Harvest IPA,4.3,4.2,3.9,4.1,,"Fresh Hop, India Pale Ale",Off The Rail Brewing Co.,A nice balance of malt and hop bitterness with a fresh hop twist,The fresh hop tones are not as big as you may hope,A nice West-Coast style IPA with a tasty addition of fresh hops,5.8%,38,650,2015-Oct-19,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Cascade Hops, Chinook, Fresh Hop, Greater Vancouver Breweries, IPA, Off The Rail Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","fresh hop, ipa, Off The Rail","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/19/off-the-rail-brewing-co-2015-fresh-hop-harvest-ipa/
Cascade Wet Hop Pale Ale,3.9,4.0,4.3,4.0,,"Fresh Hop, India Pale Ale",Big Rock Brewery,A great beer that highlights the delicious flavours of Cascade Hops,Rather malty for a hop-forward IPA,"A delicious, balanced IPA that is a great representation of fresh Cascade Hops",5.0%,40,650,2015-Oct-18,dustansept,"5.0% - 5.9%, ABV, Big Rock Brewery, Brewery Regions, Cascade Hops, Fresh Hop, Greater Vancouver Breweries, IPA, Top BC Beers, Types Of Beer","big rock, fresh hop, ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/18/big-rock-brewery-cascade-wet-hop-pale-ale/
Centennial Wet Hop IPA,3.9,4.2,4.3,4.0,,"Fresh Hop, India Pale Ale",Big Rock Brewery,A great beer that highlights the delicious flavours of Cascade Hops,Rather malty for a hop-forward IPA,"A delicious, balanced IPA that is a great representation of fresh Centennial Hops",5.0%,50,650,2015-Oct-18,dustansept,"5.0% - 5.9%, ABV, Big Rock Brewery, Brewery Regions, Centennial, Fresh Hop, Greater Vancouver Breweries, IPA, Top BC Beers, Types Of Beer","big rock, fresh hop, ipa, single hop","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/18/big-rock-brewery-centennial-wet-hop-ipa/
2015 Fresh Hop IPA,4.4,3.9,4.1,4.2,,"Fresh Hop, India Pale Ale",Powell Street Brewery,Extremely powerful fresh hop flavour,The fresh hop flavours do not leave any room for the rest of the beer,An intense and over-the-top fresh hop IPA,7.0%,,650,2015-Oct-17,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Cascade Hops, Centennial, Chinook, Fresh Hop, Greater Vancouver Breweries, IPA, Powell Street Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","fresh hop, ipa, powell street","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/17/powell-street-brewery-2015-fresh-hop-ipa/
Harvest Pale Ale,3.9,4.2,4.2,3.9,,"Fresh Hop, Pale Ale",Persephone Brewing Co.,A nice and malty pale ale with a touch of fresh hops,The fresh hop flavours are quite light,A light and sessionable pale ale with a light fresh hop flavour,5.8%,,650,2015-Oct-14,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Fresh Hop, Greater Vancouver Breweries, Pale Ale, Persephone Brewing Co., Top BC Beers, Types Of Beer","fresh hop, pale ale, persephone","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/14/persephone-brewing-co-harvest-pale-ale/
Hop Attack Fresh Hop IPA,4.2,4.0,4.1,3.8,,"Fresh Hop, India Pale Ale",Steamworks Brewing Co.,A light IPA with big fresh hop flavour,Not the piney-bitter IPA that you may be looking for,A lighter than typical BC IPA with strong and distinct fresh hop flavour,6.0%,50,650,2015-Oct-13,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Centennial, Fresh Hop, Greater Vancouver Breweries, IPA, Nugget Hops, Steamworks Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","fresh hop, ipa, steamworks","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/13/steamworks-brewing-co-hop-attack-fresh-hop-ipa/
Tofino Lager,3.8,4.0,4.3,4.2,,Lager,Tofino Brewing Co.,"Light and fresh, perfect for after a day of surfing",Very light with not a lot going on,A light and sessionable lager with a subtle citrus tone,5.0%,,650,2015-Oct-07,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Lager, Tofino Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","lager, tofino","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/07/tofino-brewing-co-tofino-lager/
Firefighters  Friday Red Pilsner,3.8,4.0,4.2,4.0,,Pilsner,Red Truck Beer Co.,True Pilsner flavour in a darker beer that has more to it than you may expect,Ratehr big flavoured for a Pilsner,A dark and delicious Red Pilsner with a touch of sweetness and spice,5.0%,,650,2015-Oct-05,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Pilsner, Red Truck Beer Co., Simcoe Hops, Top BC Beers, Types Of Beer, Types of Hops","red pilsner, red truck","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/05/red-truck-beer-co-firefighters-friday-red-pilsner/
Wayfinder Pale Ale,3.8,4.3,4.2,4.3,,Pale Ale,Big Rock Urban Brewery,Very nice balance of malt and hop tones in a sessionable yet flavourful pale ale. ,Fairly big hop tones may turn off some,A well hopped and extremely balanced Pale Ale,4.5%,50,650,2015-Oct-04,dustansept,"4.0% - 4.9%, ABV, Big Rock Brewery, Brewery Regions, Greater Vancouver Breweries, Pale Ale, Top BC Beers, Types Of Beer","big rock, pale ale","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/04/big-rock-urban-brewery-wayfinder-pale-ale/
Fresh Hopped Red IPA,4.0,3.8,4.4,3.9,,"Fresh Hop, India Pale Ale",Bridge Brewing Co.,A whollop of fresh hop flavour in a delicious and unique Red IPA,The huge hit of fresh hop flavour will not be for everyone,A fresh hop beer with extra fresh hops. Plus the added spice of a Red IPA.,7.0%,80,650,2015-Oct-02,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Bridge Brewing Co., Cascade Hops, Centennial, Fresh Hop, Greater Vancouver Breweries, IPA, Magnum Hops, Nugget Hops, Top BC Beers, Types Of Beer","bridge, fresh hop, ipa, Red IPA","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/10/02/bridge-brewing-co-fresh-hopped-red-ipa/
Brune Aigre Belgian Brune,4.0,3.9,4.2,4.3,,Brune,Steel & Oak Brewing Co.,Great balance of sweet and sour tones,Not as sour as some may hope,"Nice dried fruit, toffee and caramel tones with a light sour tone.",6.8%,23,650,2015-Sep-25,dustansept,"6.0% - 6.9%, ABV, Belgian, Brewery Regions, Brune, Greater Vancouver Breweries, Sour, Steel & Oak Brewing Co., Top BC Beers, Types Of Beer","belgian, brune, steel & oak","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/25/steel-oak-brewing-co-brune-aigre-belgian-brune/
Patrick O Pumpkin Barrel Aged Imperial Pumpkin Ale,4.0,4.1,4.2,4.3,,"Barrel Aged, Pumpkin Ale",Central City Brewers,A big beer with nice bourbon barrel tones and pumpkin spice,Quite a strong beer and not the pumpkin pie that some may be looking for,A big and lightly spiced imperial pumpkin ale with a nice flavour of bourbon oak,8.0%,,650,2015-Sep-24,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Central City Brewers & Distillers, Greater Vancouver Breweries, Pumpkin, Top BC Beers, Types Of Beer","barrel aged, central city, pumpkin","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/24/central-city-brewers-patrick-opumpkin-barrel-aged-imperial-pumpkin-ale/
Sour Series Blackberry Wheat Ale,4.0,4.1,4.2,3.8,,"Fruit Beer, Sour Ale, Witbier",Townsite Brewing Inc.,"A rather tart, well flavoured blackberry beer",Rather simple and very sour,"A light and refreshing, while very sour blackberry wheat ale",5.5%,18,650,2015-Sep-22,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Fruit Beer, Greater Vancouver Breweries, Sour, Top BC Beers, Townsite Brewing Inc., Types Of Beer, Wheat Beer, Witbier","blackberry, sour, witbier","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/22/townsite-brewing-inc-sour-series-blackberry-wheat-ale/
Dark Rye Sour Saison,4.5,4.2,4.3,4.0,,"Rye, Saison, Sour",Bridge Brewing Co.,"Nice balance of Saison, Sour and dark fruit tones",Not a traditionally styled beer,A complex and delicious twist on tradition,6.5%,31,650,2015-Sep-20,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Bridge Brewing Co., Galena Hops, Greater Vancouver Breweries, Nugget Hops, Saison, Sour, Top BC Beers, Types Of Beer, Types of Hops","bridge, saison, sour","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/20/bridge-brewing-co-dark-rye-sour-saison/
100% Brett IPA,4.2,4.3,4.5,4.1,,"Brettanomyces, India Pale Ale",Old Abbey Ales,"A great balance of Brett, hop bitterness and tropical fruit tones",Brett is not for everyone,A nice Brett IPA with big flavours and balance of brett and hop tones.,7.5%,54,650,2015-Sep-15,dustansept,"7.0% - 7.9%, ABV, Brett, Brewery Regions, Greater Vancouver Breweries, IPA, Old Abbey Ales, Top BC Beers, Types Of Beer","Brett, ipa, Old Abbey Ales","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/15/old-abbey-ales-100-brett-ipa/
Super Cooper 14th Anniversary Ale,4.2,3.8,4.0,4.2,,"Barrel Aged, Imperial India Pale Ale",Phillips Brewing Co.,Nice bourbon oak flavour without a strong boozy flavour to match,A very big beer that will sneak up on you if you aren't careful,A smooth and well crafted barrel aged beer,11.6%,,650,2015-Sep-13,dustansept,"10+%, ABV, Brewery Regions, Double/Imperial IPA, IPA, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","barrel aged, imperial ipa, phillips","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/13/phillips-brewing-co-super-cooper-14th-anniversary-ale/
Raised By Wolves IPA,4.2,4.5,4.0,3.9,,India Pale Ale,Driftwood Brewery,Big citrus flavour in a well-hopped IPA,A bit boozy given the flavour profile,"A hop forward IPA with strong notes of citrus, mango and melon",7.0%,,650,2015-Sep-11,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Driftwood Brewing Co., IPA, Top BC Beers, Types Of Beer, Vancouver Island Breweries","driftwood, ipa","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/11/driftwood-brewery-raised-by-wolves-ipa/
Belgian Pale Ale,4.0,4.2,4.4,4.0,,"Belgian, Brettanomyces, Pale Ale",Old Abbey Ales,A great twist on Belgian and BC flavour with a nice Brett tone,Not what you may expect for the name,A delicious Brett beer with a melding of Belgian and BC flavours.,6.4%,33,650,2015-Sep-07,dustansept,"6.0% - 6.9%, ABV, Belgian, Brett, Brettanomyces, Brewery Regions, Greater Vancouver Breweries, Old Abbey Ales, Pale Ale, Top BC Beers, Types Of Beer","belgian, Brett, old abbey, pale ale","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/07/old-abbey-ales-belgian-pale-ale/
Barnstormer Saison IPA,4.2,4.4,4.6,4.2,,"India Pale Ale, Saison",Phillips Brewing Co.,"Great flavour in a big saison with a hop kick that makes it an ""IPA""",Not really an IPA,"A citrus infused, big bodied Saison with a delicious hop kick",7.2%,,650,2015-Sep-02,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, IPA, Phillips Brewing Co., Saison, Top BC Beers, Types Of Beer, Vancouver Island Breweries","ipa, phillips, saison","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/09/02/phillips-brewing-co-barnstormer-saison-ipa/
Citradellic Single Hop Citra IPA,4.0,4.0,4.5,4.3,,India Pale Ale,Big Rock Brewery,A delicious blend of citrus flavoured IPA goodness,Not as bitter as your typical BC IPA,"A citrus, light and well balanced single hop IPA",6.0%,67,650,2015-Aug-27,dustansept,"6.0% - 6.9%, ABV, Big Rock Brewery, Brewery Regions, Citra, Greater Vancouver Breweries, IPA, Top BC Beers, Types Of Beer, Types of Hops","big rock, citra, ipa, single hop","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/08/27/big-rock-brewery-citradellic-single-hop-citra-ipa/
Short Wave West Coast Pale Ale,3.9,4.3,4.2,3.9,,Pale Ale,Phillips Brewing Co.,Light and sessionable BC Pale Ale,Rather mild and malty,A citrus-infused BC style Pale Ale that is very sessionable ,5.2%,,473,2015-Aug-16,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Pale Ale, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","pale ale, phillips brewing","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/08/16/phillips-brewing-co-short-wave-west-coast-pale-ale/
Lil  Red-Emption 3rd Anniversary Cherry Sour Ale,3.8,4.1,4.2,4.0,,Sour Ale,Parallel 49 Brewing Co.,"Nice, balanced sour cherry taste with a smooth hint of oak",Rather expensive and a touch sweet,A sweet and sour beer with a nice balance of sour cherry and chardonnay oak.,6.7%,86,650,2015-Aug-14,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Fruit Beer, Greater Vancouver Breweries, Parallel 49 Brewing Co., Sour, Top BC Beers, Types Of Beer","cherry, parallel 49, sour","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/08/14/parallel-49-brewing-co-lil-red-emption-3rd-anniversary-cherry-sour-ale/
Pequeno Cabo Tequila Barrel Aged Berliner Weisse,3.9,4.0,4.2,4.2,,Berliner Weisse,Four Winds Brewing Co,Unique and delicious Tequila infusion into a sessionable sour ale,Comes across stronger than it is,A unique and suprisingly delicious twist on the Berliner Weisse style,4.2%,4,750,2015-Aug-13,dustansept,"4.0% - 4.9%, ABV, Berliner Weisse, Four Winds Brewing Co., Greater Vancouver Breweries, Sour, Top BC Beers, Types Of Beer","berliner weisse, four winds, tequila","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/08/13/four-winds-brewing-co-pequeno-cabo-tequila-barrel-aged-berliner-weisse/
Saison No. 7,3.6,4.1,4.3,4.2,,Saison,Main Street Brewing Co.,Nice complex Saison flavour,A touch yeasty and more hop than expected,A sessionable yet fairly complex flavoured Belgian Saison.,6.0%,15,650,2015-Aug-12,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Main Street Brewing Co., Saison, Top BC Beers, Types Of Beer","Main Street Brewing, saison","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/08/12/main-street-brewing-co-saison-no-7/
Apteryx India Pale Ale,4.0,4.5,4.3,4.2,,India Pale Ale,Phillips Brewing Co.,A great nose and body of tropical fruit hops,More bitter than you may expect from the nose,A bitter and tropical fruit flavoured BC IPA,6.5%,,650,2015-Jul-28,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, IPA, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","ipa, phillips","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/07/28/phillips-brewing-co-apteryx-india-pale-ale/
Oud Bruin,3.6,4.1,4.4,4.0,,"Oud Bruin, Sour Ale",Deep Cove Brewers,Delicious and complex barrel aged Oud Bruin,Not as intense as you may expect,"A delicious start to the new, Deep Cove Cellar Series of beers",7.6%,,750,2015-Jul-24,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Deep Cove Brewers & Distillers, Greater Vancouver Breweries, Sour, Top BC Beers, Types Of Beer, Uncategorized","deep cove, oud bruin, sour","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/07/24/deep-cove-brewers-oud-bruin/
India Summer Ale,4.1,4.3,4.0,3.8,,India Session Ale,Persephone Brewing Co.,"Big, sessionable fruit tones in a strong ISA",Rather bitter and strong for an ISA,A big bodied ISA with big tropical fruit tones. ,5.5%,,650,2015-Jul-06,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, India Session Ale (ISA), Persephone Brewing Co., Top BC Beers, Types Of Beer","isa, persephone","


							Dustan Sept is the founder of Beer Me BC. His passion for craft beer drove the creation of beermebc.com in 2012 and has been growing ever since. to learn more about the beermebc.com editorial team visit  beermebc.com/the-beer-me-bc-team/.						

",http://beermebc.com/2015/07/06/persephone-brewing-co-india-summer-ale/
